zeichenBreite = 8
R,3.58401,7.01404,4.63599,3.58401,7.01404,4.63599,3.58401,7.01404,4.63599,
S,3.5064,6.75997,4.87585,3.5064,6.75997,4.87585,3.5064,6.75997,4.87585,
T,3.49236,6.99438,4.86948,3.49236,6.99438,4.86948,3.49236,6.99438,4.86948,
U,3.43442,6.75057,4.72243,3.43442,6.75057,4.72243,3.43442,6.75057,4.72243,
V,3.49644,6.92312,4.70919,3.49644,6.92312,4.70919,3.49644,6.92312,4.70919,
W,3.49099,6.7632,4.35167,3.49099,6.7632,4.35167,3.49099,6.7632,4.35167,
X,3.47249,6.87089,4.68898,3.47249,6.87089,4.68898,3.47249,6.87089,4.68898,
Y,3.49292,6.97698,4.77812,3.49292,6.97698,4.77812,3.49292,6.97698,4.77812,
Z,3.46226,6.76282,4.88225,3.46226,6.76282,4.88225,3.46226,6.76282,4.88225,
[,3.63313,6.5,4.76286,3.63313,6.5,4.76286,3.63313,6.5,4.76286,
\,3.44193,6.50665,4.86088,3.44193,6.50665,4.86088,3.44193,6.50665,4.86088,
],3.30735,6.5,4.78292,3.30735,6.5,4.78292,3.30735,6.5,4.78292,
^,3.48816,6.86857,4.92803,3.48816,6.86857,4.92803,3.48816,6.86857,4.92803,
_,3.49789,6.00422,5.09712,3.49789,6.00422,5.09712,3.49789,6.00422,5.09712,
`,3.54853,6.66926,5.05603,3.54853,6.66926,5.05603,3.54853,6.66926,5.05603,
a,3.41962,6.28325,4.87541,3.41962,6.28325,4.87541,3.41962,6.28325,4.87541,
b,3.59514,6.58565,4.7208,3.59514,6.58565,4.7208,3.59514,6.58565,4.7208,
c,3.57701,6.40462,4.94392,3.57701,6.40462,4.94392,3.57701,6.40462,4.94392,
d,3.34486,6.57233,4.72406,3.34486,6.57233,4.72406,3.34486,6.57233,4.72406,
e,3.52297,6.3744,4.90595,3.52297,6.3744,4.90595,3.52297,6.3744,4.90595,
f,3.46849,6.88096,4.92051,3.46849,6.88096,4.92051,3.46849,6.88096,4.92051,
g,3.48639,5.5045,4.69621,3.48639,5.5045,4.69621,3.48639,5.5045,4.69621,
h,3.59853,6.66984,4.70088,3.59853,6.66984,4.70088,3.59853,6.66984,4.70088,
i,3.48515,6.53293,4.93963,3.48515,6.53293,4.93963,3.48515,6.53293,4.93963,
j,3.35912,6.28175,4.85714,3.35912,6.28175,4.85714,3.35912,6.28175,4.85714,
k,3.68826,6.59109,4.70809,3.68826,6.59109,4.70809,3.68826,6.59109,4.70809,
l,3.47445,6.60532,4.91495,3.47445,6.60532,4.91495,3.47445,6.60532,4.91495,
m,3.44939,6.36559,4.56996,3.44939,6.36559,4.56996,3.44939,6.36559,4.56996,
n,3.5044,6.47703,4.79461,3.5044,6.47703,4.79461,3.5044,6.47703,4.79461,
o,3.48721,6.37082,4.87892,3.48721,6.37082,4.87892,3.48721,6.37082,4.87892,
p,3.59627,6.142,4.72592,3.59627,6.142,4.72592,3.59627,6.142,4.72592,
q,3.34486,6.0608,4.72406,3.34486,6.0608,4.72406,3.34486,6.0608,4.72406,
r,3.57408,6.58022,4.88005,3.57408,6.58022,4.88005,3.57408,6.58022,4.88005,
s,3.4897,6.3894,4.94209,3.4897,6.3894,4.94209,3.4897,6.3894,4.94209,
t,3.54012,6.61613,4.8873,3.54012,6.61613,4.8873,3.54012,6.61613,4.8873,
u,3.47594,6.29636,4.80215,3.47594,6.29636,4.80215,3.47594,6.29636,4.80215,
v,3.48658,6.45588,4.84998,3.48658,6.45588,4.84998,3.48658,6.45588,4.84998,
w,3.48677,6.29289,4.67051,3.48677,6.29289,4.67051,3.48677,6.29289,4.67051,
x,3.46348,6.3861,4.81341,3.46348,6.3861,4.81341,3.46348,6.3861,4.81341,
y,3.60067,6.10114,4.77068,3.60067,6.10114,4.77068,3.60067,6.10114,4.77068,
z,3.46356,6.39717,4.9593,3.46356,6.39717,4.9593,3.46356,6.39717,4.9593,
{,3.49339,6.50284,4.80314,3.49339,6.50284,4.80314,3.49339,6.50284,4.80314,
|,3.50466,6.5,4.7503,3.50466,6.5,4.7503,3.50466,6.5,4.7503,
},3.4829,6.5057,4.80268,3.4829,6.5057,4.80268,3.4829,6.5057,4.80268,
